VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,580320,15245006.399999047,284098.0,10203839.020002881,1345638.6199996965,521998.40000004246,137203.36000000002,-5041167.379996166,-49.40461497005019,0.48955403915081336,0.6693233674210539
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,656152,15216164.880000053,320494.0,9638146.98000216,1123024.7399996798,588877.3200000173,289858.48000000004,-5578017.899997894,-57.8743809528068,0.4884447506065668,0.6334149935947675
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,749628,13673214.72000064,374280.0,9076241.200001981,922280.2999997095,687708.1399999821,247560.43999999992,-4596973.519998658,-50.64842833834843,0.49928764667274966,0.6637971673717383
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,806728,13044791.75999902,400824.0,8951945.760001784,840100.0199997254,736485.5999999722,514064.14,-4092845.999997236,-45.720183183911736,0.49685147906109617,0.6862467354559332
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,552436,12092824.039999371,271676.0,8446215.240002286,1091556.5599997258,499175.6600000465,514064.14,-3646608.7999970857,-43.17447159914076,0.49177823313469793,0.6984485354343025
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,555236,9866543.720000224,283720.0,6767824.800002535,893864.1799997211,223398.38000000865,178572.53999999995,-3098718.9199976893,-45.786039260303085,0.5109899214027909,0.6859367365173324
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,283132,8709140.319999201,139254.0,5546735.460001894,1229058.6799997552,255863.34000002246,247560.43999999992,-3162404.859997307,-57.01380357512538,0.4918341974767953,0.636886679534221
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,645544,8353339.359999926,296530.0,5184082.700001115,585172.5799997759,544845.2000000194,514064.14,-3169256.659998811,-61.134376965053605,0.45934901416479745,0.6206000350979588
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,367340,7614958.200000242,180962.0,5280982.380001916,1007322.0399997308,332488.8800000514,514064.14,-2333975.8199983267,-44.19586455801581,0.4926280829749006,0.6935011645896819
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,435464,7093708.560001018,214122.0,4870786.780001352,853805.5599997183,393414.70000003785,247761.94,-2222921.779999667,-45.63783800035382,0.4917099921003803,0.6866347466635495
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,372820,6121704.400000626,182494.0,4297931.060001521,872023.2799997203,143681.13999999492,247560.43999999992,-1823773.3399991048,-42.433750438017945,0.48949627165924575,0.7020807897880665
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,267768,5992647.83999971,122866.0,3681231.3400011067,885712.3999997762,225750.38000000984,514064.14,-2311416.4999986035,-62.78922149994269,0.458852439425174,0.6142912846354216
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,276004,5912005.679999505,140244.0,4378737.560001521,991915.659999755,257678.16000002704,178572.53999999995,-1533268.1199979838,-35.01621412536656,0.5081230706801351,0.7406517850304041
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,862672,5840289.440000448,428476.0,4652015.560000843,379217.91999982204,48167.54000000181,35175.18000000001,-1188273.879999605,-25.543205190813882,0.49668471910529144,0.7965385290905181
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,171804,5808693.240000155,83278.0,4019017.2200012943,1324640.0799997759,65566.18000001262,136109.40000000005,-1789676.0199988605,-44.53019039312014,0.48472678168145095,0.6918969644196923
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,126384,5658211.680000264,56744.0,3478088.5600005817,1014582.8599998723,104267.43999997892,514064.14,-2180123.1199996825,-62.6816448859864,0.448980883656159,0.6146974974963149
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,242580,5596320.599999518,119542.0,3689900.58000109,1009470.1199997441,219634.14000001817,247560.43999999992,-1906420.019998428,-51.66589122566182,0.49279412977162174,0.6593440304333901
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,256996,5584523.079999542,130368.0,4136182.3200013875,988975.2999997642,239534.98000001797,514064.14,-1448340.7599981544,-35.01636649318854,0.5072763778424567,0.7406509491947031
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,190184,5492513.919999561,95932.0,3768614.6800012393,1193149.8599997563,176259.59999998918,514064.14,-1723899.239998322,-45.74357917636077,0.5044167753333614,0.6861365733237031
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,316312,5269757.92000001,158084.0,3271333.1600000644,242130.49999996411,290469.9000000066,514064.14,-1998424.7599999458,-61.08900140271578,0.49977237664078505,0.6207748457637041
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,229396,5133882.479999584,113776.0,3532782.2400007457,920175.8999997749,209049.08000000368,178572.53999999995,-1601100.2399988384,-45.32122647894936,0.4959807494463722,0.6881307185670195
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,133552,5111035.040000407,65890.0,3399339.100000721,1178275.579999818,121066.85999996772,178572.53999999995,-1711695.939999686,-50.35378612270024,0.49336587995687076,0.6650979837540794
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,247744,4835962.880000602,122646.0,3057460.5400005635,784707.0799997669,225338.9000000183,37088.97999999999,-1778502.340000039,-58.16926553039704,0.49505134332213896,0.6322340795138988
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,239512,4823771.679999872,116026.0,3473221.7400004487,588098.979999872,121827.30000001407,178572.53999999995,-1350549.9399994235,-38.884644894548224,0.48442666755736663,0.7200220015389578
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,405920,4773619.199999615,197876.0,3248733.2400004445,612879.8799997433,363564.2600000452,247761.94,-1524885.9599991702,-46.93786307917856,0.4874753646038628,0.6805597815595988
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,389892,4760581.319999419,189920.0,3108996.8000004455,615340.3999997438,348943.86000004463,247761.94,-1651584.5199989737,-53.12274750487801,0.48710925076687905,0.6530708312741993
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,236352,4653770.879999749,117220.0,3099403.8000006466,862995.6199997524,215370.0600000119,77989.56,-1554367.0799991027,-50.15051862551044,0.4959551854860547,0.6659983656094418
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,305556,4427506.440000178,154082.0,3315619.1800005413,685357.6999997711,283103.2200000306,178572.53999999995,-1111887.259999637,-33.534830136899366,0.5042676301561744,0.7488682907484168
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,161520,4393343.999999954,77012.0,3169330.82000027,699124.1199998886,8632.719999999483,96694.52,-1224013.1799996844,-38.620555868622766,0.47679544328875684,0.7213937310623304
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,291808,4295413.760000046,146244.0,2912349.5600004056,681252.2599997596,115141.37999999283,514064.14,-1383064.1999996407,-47.48963582515307,0.5011651496874657,0.6780137427320562
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,308264,4139985.520000104,149444.0,2817255.5600004955,663453.2599997626,274577.160000038,77989.56,-1322729.9599996083,-46.951010720496214,0.4847922559883736,0.6804988921798028
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,261528,4116450.7200002326,128776.0,2654802.2400001655,705643.5599997562,236596.74000002845,41929.62000000001,-1461648.480000067,-55.0567743983814,0.4923985194701906,0.6449250630164268
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,119316,4057937.160000089,58996.0,3067269.040000106,264687.33999998204,6628.459999999839,96694.52,-990668.1199999829,-32.29805103760799,0.49445170806932853,0.755869033713681
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,184652,3923855.0,89524.0,2355668.76000002,735016.0199997975,164488.31999998604,247560.43999999992,-1568186.2399999802,-66.5707448614281,0.48482550960726123,0.6003455173547493
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,351816,3905157.60000017,168578.0,2348856.7199997297,515286.61999976734,132721.89999999217,100587.24000000002,-1556300.8800004404,-66.25780392431172,0.47916524546922257,0.6014755255971301
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,246556,3900515.919999807,120204.0,2586365.960000243,630580.359999798,220858.90000000637,247560.43999999992,-1314149.959999564,-50.81067336655794,0.48753224419604474,0.6630830415891165
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,273176,3870903.920000003,150294.0,2646447.059999931,355157.29999989975,276148.1800000199,178572.53999999995,-1224456.860000072,-46.26795217283144,0.550172782382054,0.6836767625066573
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,277196,3814216.960000117,141206.0,2710409.9400001676,662643.1799997571,111169.81999999852,289858.48000000004,-1103807.0199999493,-40.72472594311254,0.5094085051732348,0.7106071753191734
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,211728,3372827.0399999605,106412.0,2510377.880000073,789001.7199997563,83776.12000000477,137203.36000000002,-862449.1599998875,-34.35535211136669,0.5025882264036877,0.7442948749604731
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750.0,164192,3357726.399999972,75230.0,2068289.699999561,793655.299999788,59231.20000001243,247761.94,-1289436.700000411,-62.34313790764826,0.45818310270902357,0.6159792233219414
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,176792,3030214.8800000614,87066.0,2187683.3399996385,729629.2799997911,159969.1599999821,100587.24000000002,-842531.5400004229,-38.512499711249895,0.492477035159962,0.7219565036257739
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,55036,2969742.5599997984,26420.0,1821377.7999998399,906088.5599998999,48550.61999998885,247560.43999999992,-1148364.7599999586,-63.04923448611592,0.4800494221963805,0.6133116804575692
